vote,content_type_name,project_id,parent_content_type_name,user_id
yes,entry,266,challenge,114921
yes,entry,266,challenge,114921
yes,entry,266,challenge,114921
yes,entry,266,challenge,114921
yes,entry,266,challenge,114921
yes,entry,266,challenge,114921
yes,entry,266,challenge,114921
yes,entry,266,challenge,114921
yes,entry,266,challenge,115530
yes,entry,266,challenge,115530
yes,entry,266,challenge,115530
yes,entry,266,challenge,114592
yes,entry,266,challenge,114592
yes,entry,266,challenge,114592
yes,entry,266,challenge,114921
yes,entry,266,challenge,114921
yes,entry,266,challenge,114921
yes,entry,266,challenge,114921
yes,entry,266,challenge,114921
yes,entry,266,challenge,114921
yes,entry,266,challenge,114921
yes,entry,266,challenge,114921
yes,entry,266,challenge,114921
yes,entry,266,challenge,114921
yes,entry,266,challenge,114921
yes,entry,266,challenge,114921
yes,entry,266,challenge,82571
yes,entry,266,challenge,82571
yes,entry,266,challenge,82571
yes,entry,266,challenge,82571
yes,entry,266,challenge,82571
yes,entry,266,challenge,82571
yes,entry,266,challenge,82571
yes,entry,266,challenge,82571
yes,entry,266,challenge,82571
yes,entry,266,challenge,82571
yes,entry,266,challenge,115551
yes,entry,266,challenge,115551
yes,entry,266,challenge,82571
yes,entry,266,challenge,82571
yes,entry,266,challenge,82571
yes,entry,266,challenge,82571
yes,entry,266,challenge,82571
yes,entry,266,challenge,82571
yes,entry,266,challenge,82571
yes,entry,266,challenge,82571
yes,entry,266,challenge,82571
yes,entry,266,challenge,115764
yes,entry,266,challenge,115764
yes,entry,266,challenge,115764
yes,entry,266,challenge,115766
yes,entry,266,challenge,115766
yes,entry,266,challenge,115766
yes,entry,266,challenge,115769
yes,entry,266,challenge,115769
yes,entry,266,challenge,115769
yes,entry,266,challenge,115773
yes,entry,266,challenge,115773
yes,entry,266,challenge,115773
yes,entry,266,challenge,115780
yes,entry,266,challenge,115780
yes,entry,266,challenge,115780
yes,entry,266,challenge,115781
yes,entry,266,challenge,115781
yes,entry,266,challenge,115781
yes,entry,266,challenge,115790
yes,entry,266,challenge,115790
yes,entry,266,challenge,115790
yes,entry,266,challenge,115790
yes,entry,266,challenge,115333
yes,entry,266,challenge,115333
yes,entry,266,challenge,115430
yes,entry,266,challenge,115430
yes,entry,266,challenge,115430
yes,entry,266,challenge,115430
yes,entry,266,challenge,115368
yes,entry,266,challenge,115368
yes,entry,266,challenge,115430
yes,entry,266,challenge,115430
yes,entry,266,challenge,115430
yes,entry,266,challenge,115430
yes,entry,266,challenge,115430
yes,entry,266,challenge,115430
yes,entry,266,challenge,115430
yes,entry,266,challenge,115430
yes,entry,266,challenge,115430
yes,entry,266,challenge,115430
yes,entry,266,challenge,115843
yes,entry,266,challenge,115843
yes,entry,266,challenge,115843
yes,entry,266,challenge,115856
yes,entry,266,challenge,115856
yes,entry,266,challenge,115856
yes,entry,266,challenge,90155
yes,entry,266,challenge,90155
yes,entry,266,challenge,90155
yes,entry,266,challenge,90155
yes,entry,266,challenge,90155
yes,entry,266,challenge,90155
yes,entry,266,challenge,90155
yes,entry,266,challenge,90155
yes,entry,266,challenge,90155
yes,entry,266,challenge,115861
yes,entry,266,challenge,115861
