,action,project_ids,user_id
880,follow,272,86195
881,follow,211,86195
882,follow,264,86204
883,follow,272,86204
884,follow,267,86236
885,follow,272,86236
886,follow,266,86262
887,follow,157,86262
888,follow,149,86262
889,follow,250,86262
890,follow,266,86270
891,follow,157,86270
892,follow,149,86270
893,follow,266,86270
894,follow,157,86270
895,follow,149,86270
896,follow,272,86281
897,follow,267,86293
898,follow,157,86296
899,follow,149,86296
900,follow,155,86296
901,follow,250,86296
902,follow,166,86296
903,follow,266,86296
904,follow,264,86305
905,follow,266,86305
906,follow,267,86305
907,follow,271,86305
908,follow,272,86305
909,follow,271,86308
910,follow,211,86314
911,follow,208,86314
912,follow,267,86314
913,follow,272,86314
914,follow,267,86365
915,follow,266,86365
916,follow,272,86383
917,follow,267,86383
918,follow,264,86383
919,follow,263,86383
920,follow,208,86383
921,follow,211,86383
922,follow,272,86462
923,follow,250,86479
924,follow,166,86479
925,follow,208,86507
926,follow,155,86522
927,follow,271,86530
928,follow,272,86530
929,follow,266,86530
930,follow,264,86530
931,follow,267,86530
932,follow,268,86530
933,follow,272,86616
934,follow,271,86616
935,follow,268,86616
936,follow,264,86616
937,follow,266,86616
938,follow,267,86616
939,follow,149,86647
940,follow,155,86647
941,follow,157,86647
942,follow,271,86656
943,follow,266,86659
944,follow,271,86674
945,follow,271,86685
946,follow,266,86687
947,follow,264,86687
948,follow,271,86694
949,follow,271,86700
950,follow,271,86706
951,follow,271,86711
952,follow,271,86715
953,follow,155,86717
954,follow,149,86717
955,follow,157,86717
956,follow,271,86718
957,follow,272,86721
958,follow,271,86721
959,follow,268,86721
960,follow,271,86728
961,follow,271,86729
962,follow,271,86733
963,follow,272,86745
964,follow,267,86745
965,follow,264,86745
966,follow,267,86833
967,follow,268,86833
968,follow,271,86835
969,follow,271,86834
970,follow,271,86847
971,follow,271,86848
972,follow,271,86834
973,follow,271,86847
974,follow,271,86851
975,follow,272,86870
976,follow,271,86873
977,follow,264,86881
978,follow,208,86881
979,follow,263,86881
980,follow,272,86881
981,follow,267,86881
982,follow,271,86924
983,follow,268,69706
984,follow,271,86933
985,follow,271,85823
986,follow,271,86951
987,follow,271,86952
988,follow,271,86956
989,follow,266,86958
990,follow,250,86958
991,follow,155,86958
992,follow,149,86958
993,follow,157,86958
994,follow,166,86958
995,follow,271,86960
996,follow,264,86963
997,follow,266,86963
998,follow,267,86963
999,follow,268,86963
1000,follow,272,86963
1001,follow,271,87001
1002,follow,271,87009
1003,follow,271,87019
1004,follow,271,85946
1005,follow,266,85946
1006,follow,267,85946
1007,follow,268,85946
1008,follow,267,87047
1009,follow,264,87047
1010,follow,271,87051
1011,follow,271,87052
1012,follow,266,87068
1013,follow,271,87072
1014,follow,272,87077
1015,follow,267,87077
1016,follow,268,87092
1017,follow,271,87093
1018,follow,268,87093
1019,follow,267,87093
1020,follow,266,87093
1021,follow,267,87133
1022,follow,271,87155
1023,follow,267,87170
1024,follow,208,87170
1025,follow,271,87240
1026,follow,268,87261
1027,follow,271,87276
1028,follow,271,87282
1029,follow,267,87291
1030,follow,272,87291
1031,follow,264,87291
1032,follow,272,80539
1033,follow,271,80539
1034,follow,268,80539
1035,follow,267,80539
1036,follow,266,80539
1037,follow,264,80539
1038,follow,266,87304
1039,follow,155,87304
1040,follow,166,87304
1041,follow,266,87309
1042,follow,267,87308
1043,follow,272,87308
1044,follow,263,87308
1045,follow,208,87308
1046,follow,271,8184
1047,follow,250,87312
1048,follow,155,87312
1049,follow,267,87326
1050,follow,263,87326
1051,follow,211,87326
1052,follow,208,87326
1053,follow,264,87326
1054,follow,272,87326
1055,follow,208,87362
1056,follow,211,87362
1057,follow,264,87362
1058,follow,271,87363
1059,follow,271,87377
1060,follow,211,87386
1061,follow,271,87399
1062,follow,271,87403
1063,follow,272,87401
1064,follow,267,87401
1065,follow,266,87401
1066,follow,266,87405
1067,follow,250,87405
1068,follow,166,87405
1069,follow,149,87405
1070,follow,155,87405
1071,follow,157,87405
1072,follow,264,86283
1073,follow,268,86283
1074,follow,266,86283
1075,follow,266,87445
1076,follow,166,87445
1077,follow,155,87445
1078,follow,157,87445
1079,follow,250,87456
1080,follow,271,87467
1081,follow,272,87467
1082,follow,157,87489
1083,follow,155,87489
1084,follow,166,87489
1085,follow,266,87489
1086,follow,250,87489
1087,follow,149,87489
1088,follow,208,87493
1089,follow,267,87493
1090,follow,264,7343
1091,follow,272,87581
1092,follow,267,87581
1093,follow,271,87659
1094,follow,271,87747
1095,follow,266,87942
1096,follow,250,87942
1097,follow,166,87942
1098,follow,157,87942
1099,follow,155,87942
1100,follow,149,87942
1101,follow,266,87958
1102,follow,264,87958
1103,follow,267,87958
1104,follow,268,87958
1105,follow,271,87958
1106,follow,272,87958
1107,follow,272,87958
1108,follow,272,87958
1109,follow,272,88015
1110,follow,267,88015
1111,follow,263,88015
1112,follow,267,88028
1113,follow,264,88028
1114,follow,271,79093
1115,follow,268,79093
1116,follow,266,79093
1117,follow,264,79093
1118,follow,271,88049
1119,follow,267,88049
1120,follow,266,88049
1121,follow,272,88073
1122,follow,149,88097
1123,follow,155,88097
1124,follow,157,88097
1125,follow,250,88097
1126,follow,266,88106
1127,follow,264,88106
1128,follow,267,88129
1129,follow,271,88007
1130,follow,272,88184
1131,follow,271,88184
1132,follow,264,88184
1133,follow,267,88184
1134,follow,266,88184
1135,follow,267,88192
1136,follow,264,88192
1137,follow,272,88192
1138,follow,263,88192
1139,follow,208,88192
1140,follow,211,88192
1141,follow,157,88209
1142,follow,149,88209
1143,follow,267,88210
1144,follow,272,88210
1145,follow,266,88210
1146,follow,264,88210
1147,follow,272,88242
