action,project_ids,user_id
follow,"[266, 267, 272, 271]",89558
follow,"[266, 155]",89561
follow,"[250, 166, 157, 155, 149, 266]",89585
follow,[268],74872
follow,"[266, 272]",89605
follow,"[266, 149, 155, 157, 166]",89606
follow,"[272, 271, 268, 267, 266, 264]",89610
follow,[266],89609
follow,[155],89616
follow,"[155, 157]",89618
follow,[271],89637
follow,[271],89663
follow,[271],89665
follow,[275],89668
follow,"[166, 266, 155]",89681
follow,"[272, 279, 278, 275, 277, 276]",89687
follow,"[275, 272, 278]",89693
follow,"[279, 275, 277, 276, 272]",89744
follow,"[149, 155, 166]",89710
follow,"[279, 278, 275, 277, 276, 272]",89774
follow,"[157, 166]",89779
follow,[279],89786
follow,"[272, 277, 279]",89801
follow,"[272, 276, 277, 279]",89827
follow,"[275, 272]",89835
follow,"[279, 275, 272]",89849
follow,"[279, 278, 275, 277, 276, 272]",89861
follow,"[279, 277, 276, 272]",89872
follow,"[279, 278, 275, 277, 276, 272]",89886
follow,"[279, 272]",89889
follow,"[279, 272]",89905
follow,"[279, 275, 277, 272]",89911
follow,"[278, 279, 275, 277, 276, 272]",89918
follow,"[279, 275, 277, 276, 272]",89935
follow,"[279, 278, 275, 272]",89947
follow,"[266, 157]",89966
follow,"[275, 277, 276, 272, 278, 279]",89987
follow,"[278, 275, 272, 276]",90000
follow,[279],89936
follow,"[276, 272, 279]",90016
follow,"[279, 278, 275, 277, 276, 272]",90018
follow,"[279, 278, 277]",90020
follow,"[277, 271]",90038
follow,"[279, 277, 276]",90061
follow,"[155, 250]",90097
follow,"[278, 279, 275]",90098
follow,"[275, 279, 277, 276]",90112
follow,"[266, 250, 166, 155, 149]",90137
follow,"[279, 277, 278]",90141
follow,"[277, 278, 275, 271]",90145
follow,"[166, 266, 155, 149]",90155
follow,"[279, 278, 275, 277, 276, 272]",90167
follow,"[166, 250, 155]",90183
follow,"[279, 278, 276, 272, 277]",90192
follow,"[157, 166, 250, 149]",90216
follow,"[266, 155]",90233
follow,"[272, 275, 279, 277]",90236
follow,"[272, 275, 279, 277]",90236
follow,"[279, 278, 275, 277, 276]",90241
follow,[266],90242
follow,"[279, 278, 275, 277, 276]",90241
follow,"[275, 277, 276, 272]",90245
follow,"[272, 275, 279]",88722
follow,"[279, 275, 277, 276, 271]",90247
follow,"[271, 279, 278, 275, 277, 276]",90248
follow,"[279, 278, 275, 277, 276]",90253
follow,[275],90254
follow,"[279, 275, 271]",90254
follow,"[279, 275, 277, 276, 272, 278]",90256
follow,"[279, 278, 275, 277, 276, 271]",90257
follow,"[278, 271, 277, 275]",90258
follow,[278],90260
follow,[278],90261
follow,[279],90265
follow,[278],90264
